=== 个性化信任共识模型 - 多次仿真汇总 ===

仿真总数: 500
成功仿真数: 500

各仿真关键指标:
仿真编号 | 反馈次数 | 是否收敛 | 平均共识度 | 决策者分类
--------------------------------------------------------------------------------
   1 |      2 |    是     |   0.9293 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
   2 |      0 |    是     |   0.9139 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
   3 |      0 |    是     |   0.9230 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
   4 |      4 |    是     |   0.9294 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
   5 |      5 |    是     |   0.9355 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
   6 |      1 |    是     |   0.9202 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
   7 |      1 |    是     |   0.9290 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
   8 |      0 |    是     |   0.9336 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
   9 |      0 |    是     |   0.9382 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  10 |      2 |    是     |   0.9198 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  11 |      0 |    是     |   0.9164 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  12 |      1 |    是     |   0.9163 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  13 |      2 |    是     |   0.9242 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  14 |      0 |    是     |   0.9365 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  15 |      1 |    是     |   0.9303 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  16 |      2 |    是     |   0.9237 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  17 |      0 |    是     |   0.9365 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  18 |      2 |    是     |   0.9222 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  19 |      3 |    是     |   0.9252 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  20 |      2 |    是     |   0.9313 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  21 |      0 |    是     |   0.9271 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  22 |      3 |    是     |   0.9313 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  23 |      1 |    是     |   0.9231 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  24 |      0 |    是     |   0.9485 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  25 |      0 |    是     |   0.9276 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  26 |      0 |    是     |   0.9255 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  27 |      0 |    是     |   0.9254 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  28 |      0 |    是     |   0.9331 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  29 |      0 |    是     |   0.9256 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  30 |      1 |    是     |   0.9326 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  31 |      3 |    是     |   0.9252 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  32 |      0 |    是     |   0.9312 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  33 |      1 |    是     |   0.9149 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  34 |      2 |    是     |   0.9296 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  35 |      0 |    是     |   0.9235 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  36 |      1 |    是     |   0.9222 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  37 |      0 |    是     |   0.9305 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  38 |      0 |    是     |   0.9365 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  39 |      0 |    是     |   0.9273 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  40 |      3 |    是     |   0.9164 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  41 |      2 |    是     |   0.9209 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  42 |      0 |    是     |   0.9180 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  43 |      1 |    是     |   0.9274 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  44 |      0 |    是     |   0.9154 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  45 |      1 |    是     |   0.9181 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  46 |      2 |    是     |   0.9197 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  47 |      0 |    是     |   0.9395 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  48 |      0 |    是     |   0.9310 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  49 |      1 |    是     |   0.9263 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  50 |      2 |    是     |   0.9264 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  51 |      0 |    是     |   0.9206 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  52 |      1 |    是     |   0.9254 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  53 |      0 |    是     |   0.9247 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  54 |      1 |    是     |   0.9197 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  55 |      0 |    是     |   0.9078 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  56 |      1 |    是     |   0.9250 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  57 |      0 |    是     |   0.9402 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  58 |      1 |    是     |   0.9270 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  59 |      2 |    是     |   0.9354 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  60 |      0 |    是     |   0.9182 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  61 |      0 |    是     |   0.9243 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  62 |      0 |    是     |   0.9207 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  63 |      0 |    是     |   0.9377 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  64 |      2 |    是     |   0.9216 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  65 |      0 |    是     |   0.9234 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  66 |      1 |    是     |   0.9264 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  67 |      0 |    是     |   0.9230 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  68 |      2 |    是     |   0.9251 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  69 |      3 |    是     |   0.9311 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  70 |      3 |    是     |   0.9340 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  71 |      2 |    是     |   0.9223 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  72 |      0 |    是     |   0.9318 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  73 |      0 |    是     |   0.9080 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  74 |      2 |    是     |   0.9337 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  75 |      0 |    是     |   0.9324 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  76 |      4 |    是     |   0.9323 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  77 |      0 |    是     |   0.9277 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  78 |      1 |    是     |   0.9307 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  79 |      0 |    是     |   0.9230 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  80 |      1 |    是     |   0.9248 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  81 |      0 |    是     |   0.9089 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  82 |      1 |    是     |   0.9168 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  83 |      0 |    是     |   0.9213 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  84 |      0 |    是     |   0.9434 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  85 |      1 |    是     |   0.9283 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  86 |      1 |    是     |   0.9183 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  87 |      1 |    是     |   0.9314 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  88 |      1 |    是     |   0.9314 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  89 |      0 |    是     |   0.9332 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  90 |      9 |    是     |   0.9356 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  91 |      1 |    是     |   0.9274 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  92 |      2 |    是     |   0.9309 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  93 |      0 |    是     |   0.9224 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  94 |      0 |    是     |   0.9322 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  95 |      1 |    是     |   0.9256 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  96 |      0 |    是     |   0.9323 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  97 |      0 |    是     |   0.9369 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  98 |      0 |    是     |   0.9325 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
  99 |      1 |    是     |   0.9277 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 100 |      1 |    是     |   0.9242 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 101 |      0 |    是     |   0.9187 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 102 |      2 |    是     |   0.9218 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
