=== 个性化信任共识模型 - 多次仿真汇总 ===

仿真总数: 500
成功仿真数: 500

各仿真关键指标:
仿真编号 | 反馈次数 | 是否收敛 | 平均共识度 | 决策者分类
--------------------------------------------------------------------------------
   1 |      3 |    是     |   0.9320 | {'Con': [0, 1, 3, 4], 'Neu': [], 'Rad': [2]}
   2 |      0 |    是     |   0.9139 | {'Con': [0, 1, 2, 3], 'Neu': [], 'Rad': [4]}
   3 |      0 |    是     |   0.9230 | {'Con': [0, 3], 'Neu': [1], 'Rad': [2, 4]}
   4 |      1 |    是     |   0.9427 | {'Con': [0, 3], 'Neu': [], 'Rad': [1, 2, 4]}
   5 |      6 |    是     |   0.9363 | {'Con': [0, 1, 2, 4], 'Neu': [3], 'Rad': []}
   6 |      1 |    是     |   0.9283 | {'Con': [1, 2, 4], 'Neu': [], 'Rad': [0, 3]}
   7 |      2 |    是     |   0.9215 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
   8 |      0 |    是     |   0.9336 | {'Con': [1, 2, 3], 'Neu': [], 'Rad': [0, 4]}
   9 |      0 |    是     |   0.9382 | {'Con': [0, 1, 2, 3], 'Neu': [4], 'Rad': []}
  10 |      2 |    是     |   0.9224 | {'Con': [0, 1, 3, 4], 'Neu': [2], 'Rad': []}
  11 |      0 |    是     |   0.9164 | {'Con': [1, 2, 4], 'Neu': [3], 'Rad': [0]}
  12 |      1 |    是     |   0.9217 | {'Con': [0, 1, 3, 4], 'Neu': [], 'Rad': [2]}
  13 |      2 |    是     |   0.9183 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
  14 |      0 |    是     |   0.9365 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
  15 |      1 |    是     |   0.9435 | {'Con': [0, 1, 2, 3], 'Neu': [], 'Rad': [4]}
  16 |      1 |    是     |   0.9166 | {'Con': [0, 1, 2, 3], 'Neu': [4], 'Rad': []}
  17 |      0 |    是     |   0.9365 | {'Con': [0, 1, 3, 4], 'Neu': [2], 'Rad': []}
  18 |      1 |    是     |   0.9233 | {'Con': [0, 1, 2, 3], 'Neu': [], 'Rad': [4]}
  19 |      3 |    是     |   0.9273 | {'Con': [0, 1, 3, 4], 'Neu': [], 'Rad': [2]}
  20 |      3 |    是     |   0.9312 | {'Con': [0, 1, 2, 4], 'Neu': [], 'Rad': [3]}
  21 |      0 |    是     |   0.9271 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
  22 |      1 |    是     |   0.9225 | {'Con': [1, 2, 3, 4], 'Neu': [0], 'Rad': []}
  23 |      3 |    是     |   0.9267 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
  24 |      0 |    是     |   0.9485 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
  25 |      0 |    是     |   0.9276 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
  26 |      0 |    是     |   0.9255 | {'Con': [0, 1, 3, 4], 'Neu': [], 'Rad': [2]}
  27 |      0 |    是     |   0.9254 | {'Con': [1, 3, 4], 'Neu': [0, 2], 'Rad': []}
  28 |      0 |    是     |   0.9331 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
  29 |      0 |    是     |   0.9256 | {'Con': [0, 1, 3, 4], 'Neu': [2], 'Rad': []}
  30 |      1 |    是     |   0.9281 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
  31 |      1 |    是     |   0.9332 | {'Con': [0, 1, 3], 'Neu': [], 'Rad': [2, 4]}
  32 |      0 |    是     |   0.9312 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
  33 |      2 |    是     |   0.9346 | {'Con': [2], 'Neu': [0, 1, 3], 'Rad': [4]}
  34 |      2 |    是     |   0.9298 | {'Con': [0, 1, 3, 4], 'Neu': [], 'Rad': [2]}
  35 |      0 |    是     |   0.9235 | {'Con': [1, 2, 4], 'Neu': [3], 'Rad': [0]}
  36 |      2 |    是     |   0.9245 | {'Con': [0, 1, 3, 4], 'Neu': [], 'Rad': [2]}
  37 |      0 |    是     |   0.9305 | {'Con': [3, 4], 'Neu': [0, 2], 'Rad': [1]}
  38 |      0 |    是     |   0.9365 | {'Con': [1, 2, 4], 'Neu': [3], 'Rad': [0]}
  39 |      0 |    是     |   0.9273 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
  40 |      1 |    是     |   0.9182 | {'Con': [0, 3, 4], 'Neu': [1], 'Rad': [2]}
  41 |      3 |    是     |   0.9236 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
  42 |      0 |    是     |   0.9180 | {'Con': [0, 1, 2, 4], 'Neu': [], 'Rad': [3]}
  43 |      1 |    是     |   0.9157 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
  44 |      0 |    是     |   0.9154 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
  45 |      1 |    是     |   0.9173 | {'Con': [1, 3, 4], 'Neu': [0], 'Rad': [2]}
  46 |      1 |    是     |   0.9103 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
  47 |      0 |    是     |   0.9395 | {'Con': [0, 1, 4], 'Neu': [3], 'Rad': [2]}
